start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,10.05860806,2746,734.6,
2021-01-01 01:00:00,2021-01-01 01:00:00,9.60616438,2805,749.33,0.0200517288320174
2021-01-01 02:00:00,2021-01-01 02:00:00,9.54576271,2816,745.15,-0.0055783166295224
2021-01-01 03:00:00,2021-01-01 03:00:00,9.83703704,2656,745.88,0.0009796685231162
2021-01-01 04:00:00,2021-01-01 04:00:00,9.0433213,2505,743.4,-0.0033249316243899
2021-01-01 05:00:00,2021-01-01 05:00:00,8.8028169,2500,741.61,-0.0024078557976862
2021-01-01 06:00:00,2021-01-01 06:00:00,9.372,2343,740.76,-0.0011461549871226
2021-01-01 07:00:00,2021-01-01 07:00:00,10.03292181,2438,738.18,-0.0034829094443544
2021-01-01 08:00:00,2021-01-01 08:00:00,9.272,2318,731.01,-0.0097130781110297
2021-01-01 09:00:00,2021-01-01 09:00:00,9.11290323,2260,734.38,0.004610060053898
2021-01-01 10:00:00,2021-01-01 10:00:00,8.47826087,2535,737.69,0.0045072033552113
2021-01-01 11:00:00,2021-01-01 11:00:00,10.1037037,2728,739.88,0.0029687267009177
2021-01-01 12:00:00,2021-01-01 12:00:00,9.30103806,2688,734.03,-0.0079066875709574
2021-01-01 13:00:00,2021-01-01 13:00:00,10.20588235,2776,741.06,0.0095772652343908
2021-01-01 14:00:00,2021-01-01 14:00:00,9.82229965,2819,738.81,-0.0030361914015059
2021-01-01 15:00:00,2021-01-01 15:00:00,11.10472973,3287,736.06,-0.0037222019193026
2021-01-01 16:00:00,2021-01-01 16:00:00,10.75958188,3088,736.59,0.0007200499959243
2021-01-01 17:00:00,2021-01-01 17:00:00,11.34274194,2813,729.02,-0.0102770876607067
2021-01-01 18:00:00,2021-01-01 18:00:00,14.86909091,4089,725.14,-0.0053222133823489
2021-01-01 19:00:00,2021-01-01 19:00:00,14.41287879,3805,725.68,0.0007446837852
2021-01-01 20:00:00,2021-01-01 20:00:00,13.68705036,3805,730.01,0.0059668173299527
2021-01-01 21:00:00,2021-01-01 21:00:00,12.88764045,3441,728.89,-0.0015342255585539
2021-01-01 22:00:00,2021-01-01 22:00:00,12.02352941,3066,729.53,0.0008780474420009
2021-01-01 23:00:00,2021-01-01 23:00:00,11.48550725,3170,729.77,0.0003289789316409
2021-01-02 00:00:00,2021-01-02 00:00:00,7.84074074,2117,720.8,-0.0122915439110953
2021-01-02 01:00:00,2021-01-02 01:00:00,10.13059701,2715,730.2,0.013041065482797
2021-01-02 02:00:00,2021-01-02 02:00:00,9.18430034,2691,730.69,0.0006710490276635
2021-01-02 03:00:00,2021-01-02 03:00:00,9.89347079,2879,731.42,0.0009990556870902
2021-01-02 04:00:00,2021-01-02 04:00:00,10.10108303,2798,730.21,-0.0016543162615185
2021-01-02 05:00:00,2021-01-02 05:00:00,9.65543071,2578,732.84,0.0036017036195066
2021-01-02 06:00:00,2021-01-02 06:00:00,9.51893939,2513,737.88,0.0068773538562305
2021-01-02 07:00:00,2021-01-02 07:00:00,9.90774908,2685,735.82,-0.0027917818615492
2021-01-02 08:00:00,2021-01-02 08:00:00,10.07407407,2720,734.51,-0.0017803267103368
2021-01-02 09:00:00,2021-01-02 09:00:00,14.44481605,4319,726.31,-0.011163905188493
2021-01-02 10:00:00,2021-01-02 10:00:00,9.95402299,2598,729.42,0.0042819181892028
2021-01-02 11:00:00,2021-01-02 11:00:00,11.60754717,3076,730.5,0.0014806284445176
2021-01-02 12:00:00,2021-01-02 12:00:00,6.90625,1989,753.78,0.0318685831622176
2021-01-02 13:00:00,2021-01-02 13:00:00,7.67537313,2057,772.35,0.0246358353896363
2021-01-02 14:00:00,2021-01-02 14:00:00,8.95925926,2419,762.02,-0.0133747653266006
2021-01-02 15:00:00,2021-01-02 15:00:00,8.47560976,2085,769.57,0.0099078764336895
2021-01-02 16:00:00,2021-01-02 16:00:00,8.87847222,2557,783.71,0.0183738971113738
2021-01-02 17:00:00,2021-01-02 17:00:00,11.07835821,2969,780.11,-0.0045935358742392
2021-01-02 18:00:00,2021-01-02 18:00:00,11.27181208,3359,781.16,0.0013459640307136
2021-01-02 19:00:00,2021-01-02 19:00:00,11.26545455,3098,785.41,0.0054406267602027
2021-01-02 20:00:00,2021-01-02 20:00:00,10.89298893,2952,759.77,-0.0326453699341744
2021-01-02 21:00:00,2021-01-02 21:00:00,11.87676056,3373,769.73,0.0131092304249971
2021-01-02 22:00:00,2021-01-02 22:00:00,11.90769231,3096,772.59,0.0037155885830095
2021-01-02 23:00:00,2021-01-02 23:00:00,11.97577855,3461,775.02,0.0031452646293634
2021-01-03 00:00:00,2021-01-03 00:00:00,11.14754098,2720,776.42,0.001806404996
2021-01-03 01:00:00,2021-01-03 01:00:00,10.30651341,2690,777.5,0.0013909997166483
2021-01-03 02:00:00,2021-01-03 02:00:00,9.30357143,2605,779.66,0.0027781350482314
2021-01-03 03:00:00,2021-01-03 03:00:00,10.49637681,2897,773.22,-0.008260010773927
2021-01-03 04:00:00,2021-01-03 04:00:00,10.37974684,2460,778.2,0.0064405990533096
2021-01-03 05:00:00,2021-01-03 05:00:00,9.3046875,2382,787.48,0.0119249550244153
2021-01-03 06:00:00,2021-01-03 06:00:00,9.09594096,2465,801.15,0.0173591710265657
2021-01-03 07:00:00,2021-01-03 07:00:00,9.67938931,2536,801.05,-0.00012482057043
2021-01-03 08:00:00,2021-01-03 08:00:00,10.56445993,3032,819.35,0.0228450159166095
2021-01-03 09:00:00,2021-01-03 09:00:00,9.6271777,2763,819.93,0.0007078781961309
2021-01-03 10:00:00,2021-01-03 10:00:00,9.97454545,2743,827.21,0.0088788067274037
2021-01-03 11:00:00,2021-01-03 11:00:00,9.9020979,2832,830.97,0.004545399596233
2021-01-03 12:00:00,2021-01-03 12:00:00,10.46545455,2878,832.44,0.0017690169320192
