start_time,datetime,transactions_count_mean,transactions_count_total,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,1451.71428571,10162,29015.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,1397.625,11181,29448.4,0.0149371014992245
2021-01-01 02:00:00,2021-01-01 02:00:00,1155.28571429,8087,29237.06,-0.0071766208011301
2021-01-01 03:00:00,2021-01-01 03:00:00,1377.8,6889,29302.11,0.0022249159115177
2021-01-01 04:00:00,2021-01-01 04:00:00,1741.6,8708,29237.07,-0.0022196353777936
2021-01-01 05:00:00,2021-01-01 05:00:00,1071.5,4286,29213.8,-0.0007959073874366
2021-01-01 06:00:00,2021-01-01 06:00:00,1160.11111111,10441,29197.3,-0.000564801566383
2021-01-01 07:00:00,2021-01-01 07:00:00,1958.2,9791,29107.71,-0.003068434410031
2021-01-01 08:00:00,2021-01-01 08:00:00,1255.71428571,8790,29025.89,-0.0028109390948308
2021-01-01 09:00:00,2021-01-01 09:00:00,2024.6,10123,29229.6,0.007018217184727
2021-01-01 10:00:00,2021-01-01 10:00:00,1278.4,12784,29259.29,0.0010157511563622
2021-01-01 11:00:00,2021-01-01 11:00:00,2035.2,10176,29341.99,0.0028264527266383
2021-01-01 12:00:00,2021-01-01 12:00:00,1809.57142857,12667,29257.82,-0.0028685852595546
2021-01-01 13:00:00,2021-01-01 13:00:00,2111.0,12666,29493.66,0.0080607509376979
2021-01-01 14:00:00,2021-01-01 14:00:00,1746.25,6985,29354.58,-0.0047155897233506
2021-01-01 15:00:00,2021-01-01 15:00:00,1889.0,15112,29210.84,-0.0048966805179976
2021-01-01 16:00:00,2021-01-01 16:00:00,2061.57142857,14431,29324.21,0.0038810934570865
2021-01-01 17:00:00,2021-01-01 17:00:00,2223.0,15561,29099.0,-0.0076800022916218
2021-01-01 18:00:00,2021-01-01 18:00:00,1761.125,14089,29086.62,-0.0004254441733393
2021-01-01 19:00:00,2021-01-01 19:00:00,2556.0,5112,29048.47,-0.0013115996289702
2021-01-01 20:00:00,2021-01-01 20:00:00,2349.28571429,16445,29214.14,0.0057032263661389
2021-01-01 21:00:00,2021-01-01 21:00:00,2470.5,14823,29177.77,-0.0012449450848116
2021-01-01 22:00:00,2021-01-01 22:00:00,1798.6,8993,29270.89,0.0031914707669571
2021-01-01 23:00:00,2021-01-01 23:00:00,1925.8,9629,29337.16,0.002264024086729
2021-01-02 00:00:00,2021-01-02 00:00:00,2109.6,10548,29215.89,-0.0041336652900281
2021-01-02 01:00:00,2021-01-02 01:00:00,1190.57142857,8334,29380.0,0.0056171487502179
2021-01-02 02:00:00,2021-01-02 02:00:00,2482.0,2482,29347.02,-0.0011225323349216
2021-01-02 03:00:00,2021-01-02 03:00:00,1901.42857143,13310,29364.67,0.0006014239265177
2021-01-02 04:00:00,2021-01-02 04:00:00,993.7,9937,29363.03,-5.584942721981179e-05
2021-01-02 05:00:00,2021-01-02 05:00:00,1931.0,7724,29628.65,0.0090460691556697
2021-01-02 06:00:00,2021-01-02 06:00:00,1412.25,11298,29733.03,0.0035229414772524
2021-01-02 07:00:00,2021-01-02 07:00:00,1521.16666667,9127,29777.33,0.0014899255138141
2021-01-02 08:00:00,2021-01-02 08:00:00,1101.46153846,14319,29870.0,0.0031120990364146
2021-01-02 09:00:00,2021-01-02 09:00:00,1891.8,9459,29642.1,-0.0076297288249079
2021-01-02 10:00:00,2021-01-02 10:00:00,1761.42857143,12330,29708.25,0.0022316232655581
2021-01-02 11:00:00,2021-01-02 11:00:00,2485.0,9940,29775.52,0.0022643541777116
2021-01-02 12:00:00,2021-01-02 12:00:00,2446.0,12230,30660.12,0.0297089689785434
2021-01-02 13:00:00,2021-01-02 13:00:00,2517.0,12585,31616.51,0.031193289523981
2021-01-02 14:00:00,2021-01-02 14:00:00,2109.28571429,14765,31335.01,-0.008903576011394
2021-01-02 15:00:00,2021-01-02 15:00:00,2318.25,9273,31717.01,0.0121908370222316
2021-01-02 16:00:00,2021-01-02 16:00:00,2513.8,12569,32543.45,0.0260566806265787
2021-01-02 17:00:00,2021-01-02 17:00:00,2390.0,14340,32904.2,0.0110851799670901
2021-01-02 18:00:00,2021-01-02 18:00:00,2139.0,19251,33100.0,0.0059506081290534
2021-01-02 19:00:00,2021-01-02 19:00:00,2415.0,12075,33115.41,0.0004655589123867
2021-01-02 20:00:00,2021-01-02 20:00:00,2373.88888889,21365,30912.0,-0.0665373009121735
2021-01-02 21:00:00,2021-01-02 21:00:00,2466.42857143,17265,31722.66,0.0262247670807453
2021-01-02 22:00:00,2021-01-02 22:00:00,2678.8,13394,32171.14,0.0141375281896285
2021-01-02 23:00:00,2021-01-02 23:00:00,2720.0,19040,32199.91,0.0008942797799518
2021-01-03 00:00:00,2021-01-03 00:00:00,2196.0,8784,32478.69,0.008657788173942
2021-01-03 01:00:00,2021-01-03 01:00:00,2537.375,20299,32611.14,0.0040780585670172
2021-01-03 02:00:00,2021-01-03 02:00:00,2115.25,8461,32765.99,0.0047483773949639
2021-01-03 03:00:00,2021-01-03 03:00:00,1979.0,11874,32601.49,-0.0050204495576052
2021-01-03 04:00:00,2021-01-03 04:00:00,1908.0,15264,33256.95,0.020105216049941
2021-01-03 05:00:00,2021-01-03 05:00:00,2032.66666667,18294,33823.58,0.017037942445113
2021-01-03 06:00:00,2021-01-03 06:00:00,2123.66666667,6371,34016.77,0.0057116958051157
2021-01-03 07:00:00,2021-01-03 07:00:00,2165.11111111,19486,34472.24,0.013389572260976
2021-01-03 08:00:00,2021-01-03 08:00:00,2006.8,10034,34420.0,-0.0015154222644074
2021-01-03 09:00:00,2021-01-03 09:00:00,2287.57142857,16013,34239.04,-0.0052574084834398
2021-01-03 10:00:00,2021-01-03 10:00:00,2915.33333333,8746,33949.75,-0.0084491270783293
2021-01-03 11:00:00,2021-01-03 11:00:00,2502.8,12514,34464.06,0.0151491542647588
2021-01-03 12:00:00,2021-01-03 12:00:00,2434.0,19472,34156.94,-0.0089113122481795
2021-01-03 13:00:00,2021-01-03 13:00:00,2256.16666667,13537,33939.02,-0.0063799626078918
2021-01-03 14:00:00,2021-01-03 14:00:00,2465.22222222,22187,33903.75,-0.001039216807085
2021-01-03 15:00:00,2021-01-03 15:00:00,2509.66666667,15058,33540.46,-0.0107153338495004
2021-01-03 16:00:00,2021-01-03 16:00:00,2172.1,21721,32742.51,-0.023790669537627
2021-01-03 17:00:00,2021-01-03 17:00:00,2528.85714286,17702,32979.98,0.0072526510643198
2021-01-03 18:00:00,2021-01-03 18:00:00,2105.625,16845,32831.08,-0.0045148602273258
2021-01-03 19:00:00,2021-01-03 19:00:00,2298.0,16086,32823.72,-0.0002241778217469
2021-01-03 20:00:00,2021-01-03 20:00:00,2591.66666667,15550,33779.07,0.0291054761617512
2021-01-03 21:00:00,2021-01-03 21:00:00,2598.0,18186,33625.0,-0.0045611084023331
2021-01-03 22:00:00,2021-01-03 22:00:00,1802.66666667,16224,33209.99,-0.0123423048327138
2021-01-03 23:00:00,2021-01-03 23:00:00,2562.5,10250,33054.53,-0.0046811215540865
2021-01-04 00:00:00,2021-01-04 00:00:00,1869.54545455,20565,32907.4,-0.0044511296938724
2021-01-04 01:00:00,2021-01-04 01:00:00,1807.5,10845,33242.22,0.0101746111816793
2021-01-04 02:00:00,2021-01-04 02:00:00,2109.83333333,12659,33502.99,0.0078445422718458
2021-01-04 03:00:00,2021-01-04 03:00:00,1276.27272727,14039,33562.22,0.0017679019096505
2021-01-04 04:00:00,2021-01-04 04:00:00,2738.0,2738,33324.51,-0.0070826661645146
2021-01-04 05:00:00,2021-01-04 05:00:00,2333.8,11669,32922.5,-0.0120634932066518
2021-01-04 06:00:00,2021-01-04 06:00:00,2266.125,18129,33265.89,0.0104302528665805
2021-01-04 07:00:00,2021-01-04 07:00:00,2005.66666667,18051,32186.58,-0.0324449458589564
2021-01-04 08:00:00,2021-01-04 08:00:00,1447.6,14476,32129.54,-0.0017721671578652
2021-01-04 09:00:00,2021-01-04 09:00:00,2089.7,20897,31179.96,-0.0295547337434648
2021-01-04 10:00:00,2021-01-04 10:00:00,2249.16666667,13495,30279.53,-0.028878484770346
2021-01-04 11:00:00,2021-01-04 11:00:00,2402.0,16814,30760.39,0.0158806956382744
2021-01-04 12:00:00,2021-01-04 12:00:00,2074.5,16596,31225.59,0.0151233453151926
2021-01-04 13:00:00,2021-01-04 13:00:00,2299.4,11497,31424.22,0.0063611288049321
2021-01-04 14:00:00,2021-01-04 14:00:00,2681.5,16089,32107.19,0.0217338727898417
2021-01-04 15:00:00,2021-01-04 15:00:00,2591.5,20732,31758.38,-0.0108639217570892
2021-01-04 16:00:00,2021-01-04 16:00:00,2521.6,12608,31341.04,-0.0131410985069138
