start_time,addresses_count_active,addresses_count_receiver,addresses_count_sender,datetime
2021-01-01 00:00:00,27732,17363,20328,2021-01-01 00:00:00
2021-01-01 01:00:00,31766,19243,23381,2021-01-01 01:00:00
2021-01-01 02:00:00,33712,20828,24370,2021-01-01 02:00:00
2021-01-01 03:00:00,36082,20686,26185,2021-01-01 03:00:00
2021-01-01 04:00:00,37609,18067,30730,2021-01-01 04:00:00
2021-01-01 05:00:00,34526,16845,27535,2021-01-01 05:00:00
2021-01-01 06:00:00,27653,16512,20221,2021-01-01 06:00:00
2021-01-01 07:00:00,32271,20958,21305,2021-01-01 07:00:00
2021-01-01 08:00:00,34330,20431,23421,2021-01-01 08:00:00
2021-01-01 09:00:00,34373,17284,26165,2021-01-01 09:00:00
2021-01-01 10:00:00,32380,18719,24071,2021-01-01 10:00:00
2021-01-01 11:00:00,34065,19458,24949,2021-01-01 11:00:00
2021-01-01 12:00:00,35169,19874,25848,2021-01-01 12:00:00
2021-01-01 13:00:00,34854,19650,25871,2021-01-01 13:00:00
2021-01-01 14:00:00,36860,21045,27200,2021-01-01 14:00:00
2021-01-01 15:00:00,39442,22563,29150,2021-01-01 15:00:00
2021-01-01 16:00:00,36119,20950,27050,2021-01-01 16:00:00
2021-01-01 17:00:00,30074,19405,21137,2021-01-01 17:00:00
2021-01-01 18:00:00,32466,19792,23268,2021-01-01 18:00:00
2021-01-01 19:00:00,35293,20855,26314,2021-01-01 19:00:00
2021-01-01 20:00:00,31874,20573,22876,2021-01-01 20:00:00
2021-01-01 21:00:00,30825,19340,22337,2021-01-01 21:00:00
2021-01-01 22:00:00,29108,18994,20766,2021-01-01 22:00:00
2021-01-01 23:00:00,31535,18641,23327,2021-01-01 23:00:00
2021-01-02 00:00:00,28650,18125,19704,2021-01-02 00:00:00
2021-01-02 01:00:00,28873,17845,21008,2021-01-02 01:00:00
2021-01-02 02:00:00,31247,19246,22878,2021-01-02 02:00:00
2021-01-02 03:00:00,33737,21089,23422,2021-01-02 03:00:00
2021-01-02 04:00:00,33582,20582,23359,2021-01-02 04:00:00
2021-01-02 05:00:00,32802,17523,25589,2021-01-02 05:00:00
2021-01-02 06:00:00,30542,17123,23073,2021-01-02 06:00:00
2021-01-02 07:00:00,35358,23224,22605,2021-01-02 07:00:00
2021-01-02 08:00:00,37426,22428,25514,2021-01-02 08:00:00
2021-01-02 09:00:00,32879,19952,23150,2021-01-02 09:00:00
2021-01-02 10:00:00,30935,18210,22730,2021-01-02 10:00:00
2021-01-02 11:00:00,32481,19483,23759,2021-01-02 11:00:00
2021-01-02 12:00:00,29450,18667,19743,2021-01-02 12:00:00
2021-01-02 13:00:00,33939,22180,22515,2021-01-02 13:00:00
2021-01-02 14:00:00,36915,23972,24891,2021-01-02 14:00:00
2021-01-02 15:00:00,35746,23433,23323,2021-01-02 15:00:00
2021-01-02 16:00:00,39356,26203,26329,2021-01-02 16:00:00
2021-01-02 17:00:00,37358,24805,25076,2021-01-02 17:00:00
2021-01-02 18:00:00,39597,26586,25623,2021-01-02 18:00:00
2021-01-02 19:00:00,37156,23920,25309,2021-01-02 19:00:00
2021-01-02 20:00:00,36304,24784,23639,2021-01-02 20:00:00
2021-01-02 21:00:00,35881,23996,24242,2021-01-02 21:00:00
2021-01-02 22:00:00,32769,20984,23102,2021-01-02 22:00:00
2021-01-02 23:00:00,34243,21439,24663,2021-01-02 23:00:00
2021-01-03 00:00:00,31141,20732,20942,2021-01-03 00:00:00
2021-01-03 01:00:00,31757,18751,23721,2021-01-03 01:00:00
2021-01-03 02:00:00,34684,20774,25325,2021-01-03 02:00:00
2021-01-03 03:00:00,34494,21611,23722,2021-01-03 03:00:00
2021-01-03 04:00:00,29494,17604,21768,2021-01-03 04:00:00
2021-01-03 05:00:00,30894,19268,21711,2021-01-03 05:00:00
2021-01-03 06:00:00,36036,22000,25789,2021-01-03 06:00:00
2021-01-03 07:00:00,38515,25459,24735,2021-01-03 07:00:00
2021-01-03 08:00:00,43134,27639,27721,2021-01-03 08:00:00
2021-01-03 09:00:00,39339,24172,27588,2021-01-03 09:00:00
2021-01-03 10:00:00,38452,24228,25829,2021-01-03 10:00:00
2021-01-03 11:00:00,37552,22382,27051,2021-01-03 11:00:00
2021-01-03 12:00:00,38588,24312,26459,2021-01-03 12:00:00
2021-01-03 13:00:00,37573,25758,22309,2021-01-03 13:00:00
2021-01-03 14:00:00,41331,28772,24826,2021-01-03 14:00:00
2021-01-03 15:00:00,48531,33416,30155,2021-01-03 15:00:00
2021-01-03 16:00:00,42316,30189,24202,2021-01-03 16:00:00
2021-01-03 17:00:00,47850,32369,29502,2021-01-03 17:00:00
2021-01-03 18:00:00,45434,30209,28565,2021-01-03 18:00:00
2021-01-03 19:00:00,38622,24644,26140,2021-01-03 19:00:00
2021-01-03 20:00:00,41623,25724,28249,2021-01-03 20:00:00
2021-01-03 21:00:00,37262,24184,25285,2021-01-03 21:00:00
2021-01-03 22:00:00,36479,26670,21414,2021-01-03 22:00:00
2021-01-03 23:00:00,36686,25647,22917,2021-01-03 23:00:00
2021-01-04 00:00:00,35252,24698,21190,2021-01-04 00:00:00
2021-01-04 01:00:00,38662,25437,25095,2021-01-04 01:00:00
2021-01-04 02:00:00,37509,24817,24779,2021-01-04 02:00:00
2021-01-04 03:00:00,42103,28930,26148,2021-01-04 03:00:00
2021-01-04 04:00:00,37876,25269,24747,2021-01-04 04:00:00
2021-01-04 05:00:00,40310,27796,24270,2021-01-04 05:00:00
2021-01-04 06:00:00,38995,27547,21949,2021-01-04 06:00:00
2021-01-04 07:00:00,47838,34908,25326,2021-01-04 07:00:00
2021-01-04 08:00:00,42554,29607,23517,2021-01-04 08:00:00
2021-01-04 09:00:00,42307,29486,23556,2021-01-04 09:00:00
2021-01-04 10:00:00,36403,25830,20446,2021-01-04 10:00:00
2021-01-04 11:00:00,41809,26766,26505,2021-01-04 11:00:00
2021-01-04 12:00:00,39679,25783,25000,2021-01-04 12:00:00
2021-01-04 13:00:00,42962,27180,27830,2021-01-04 13:00:00
2021-01-04 14:00:00,42984,28535,27353,2021-01-04 14:00:00
2021-01-04 15:00:00,45224,28245,30244,2021-01-04 15:00:00
2021-01-04 16:00:00,41914,28078,26108,2021-01-04 16:00:00
2021-01-04 17:00:00,40642,26581,26442,2021-01-04 17:00:00
2021-01-04 18:00:00,38374,24896,25736,2021-01-04 18:00:00
2021-01-04 19:00:00,37181,24068,24310,2021-01-04 19:00:00
2021-01-04 20:00:00,39709,25806,26174,2021-01-04 20:00:00
2021-01-04 21:00:00,37583,25259,24266,2021-01-04 21:00:00
2021-01-04 22:00:00,35706,22854,24493,2021-01-04 22:00:00
2021-01-04 23:00:00,35541,22665,24512,2021-01-04 23:00:00
2021-01-05 00:00:00,33452,24594,19094,2021-01-05 00:00:00
2021-01-05 01:00:00,36737,24847,23546,2021-01-05 01:00:00
2021-01-05 02:00:00,36501,25275,22105,2021-01-05 02:00:00
2021-01-05 03:00:00,39238,27691,22198,2021-01-05 03:00:00
2021-01-05 04:00:00,38189,24020,25686,2021-01-05 04:00:00
2021-01-05 05:00:00,38172,23240,25979,2021-01-05 05:00:00
2021-01-05 06:00:00,37106,22890,25405,2021-01-05 06:00:00
2021-01-05 07:00:00,41800,25416,28872,2021-01-05 07:00:00
2021-01-05 08:00:00,45784,29706,27753,2021-01-05 08:00:00
2021-01-05 09:00:00,39677,24076,27123,2021-01-05 09:00:00
2021-01-05 10:00:00,39626,23932,27388,2021-01-05 10:00:00
2021-01-05 11:00:00,37905,22155,26571,2021-01-05 11:00:00
2021-01-05 12:00:00,41093,24442,29200,2021-01-05 12:00:00
2021-01-05 13:00:00,43386,24547,32001,2021-01-05 13:00:00
2021-01-05 14:00:00,37423,23008,25452,2021-01-05 14:00:00
