start_time,block_bytes,datetime
2021-01-01 00:00:00,40271.53479853,2021-01-01 00:00:00
2021-01-01 01:00:00,40079.78767123,2021-01-01 01:00:00
2021-01-01 02:00:00,39686.33220339,2021-01-01 02:00:00
2021-01-01 03:00:00,43391.11481481,2021-01-01 03:00:00
2021-01-01 04:00:00,40812.84115523,2021-01-01 04:00:00
2021-01-01 05:00:00,37725.23239437,2021-01-01 05:00:00
2021-01-01 06:00:00,39409.184,2021-01-01 06:00:00
2021-01-01 07:00:00,41819.12757202,2021-01-01 07:00:00
2021-01-01 08:00:00,44221.324,2021-01-01 08:00:00
2021-01-01 09:00:00,42228.89112903,2021-01-01 09:00:00
2021-01-01 10:00:00,36224.77257525,2021-01-01 10:00:00
2021-01-01 11:00:00,41583.43703704,2021-01-01 11:00:00
2021-01-01 12:00:00,41550.1799308,2021-01-01 12:00:00
2021-01-01 13:00:00,43030.28676471,2021-01-01 13:00:00
2021-01-01 14:00:00,42298.50174216,2021-01-01 14:00:00
2021-01-01 15:00:00,43783.68581081,2021-01-01 15:00:00
2021-01-01 16:00:00,43262.01045296,2021-01-01 16:00:00
2021-01-01 17:00:00,42412.87096774,2021-01-01 17:00:00
2021-01-01 18:00:00,39867.32363636,2021-01-01 18:00:00
2021-01-01 19:00:00,40983.21969697,2021-01-01 19:00:00
2021-01-01 20:00:00,40293.11151079,2021-01-01 20:00:00
2021-01-01 21:00:00,38444.86516854,2021-01-01 21:00:00
2021-01-01 22:00:00,38751.34117647,2021-01-01 22:00:00
2021-01-01 23:00:00,41471.68478261,2021-01-01 23:00:00
2021-01-02 00:00:00,41245.69259259,2021-01-02 00:00:00
2021-01-02 01:00:00,39358.3880597,2021-01-02 01:00:00
2021-01-02 02:00:00,39371.32423208,2021-01-02 02:00:00
2021-01-02 03:00:00,38677.37457045,2021-01-02 03:00:00
2021-01-02 04:00:00,38584.39711191,2021-01-02 04:00:00
2021-01-02 05:00:00,40493.8988764,2021-01-02 05:00:00
2021-01-02 06:00:00,38297.78409091,2021-01-02 06:00:00
2021-01-02 07:00:00,41880.78597786,2021-01-02 07:00:00
2021-01-02 08:00:00,43640.79259259,2021-01-02 08:00:00
2021-01-02 09:00:00,39492.51505017,2021-01-02 09:00:00
2021-01-02 10:00:00,39700.80842912,2021-01-02 10:00:00
2021-01-02 11:00:00,41284.13962264,2021-01-02 11:00:00
2021-01-02 12:00:00,39350.27430556,2021-01-02 12:00:00
2021-01-02 13:00:00,42835.24253731,2021-01-02 13:00:00
2021-01-02 14:00:00,43026.7,2021-01-02 14:00:00
2021-01-02 15:00:00,42332.77235772,2021-01-02 15:00:00
2021-01-02 16:00:00,43395.29861111,2021-01-02 16:00:00
2021-01-02 17:00:00,43056.88059701,2021-01-02 17:00:00
2021-01-02 18:00:00,40217.11073826,2021-01-02 18:00:00
2021-01-02 19:00:00,41005.82181818,2021-01-02 19:00:00
2021-01-02 20:00:00,43571.23616236,2021-01-02 20:00:00
2021-01-02 21:00:00,41958.39084507,2021-01-02 21:00:00
2021-01-02 22:00:00,40244.59230769,2021-01-02 22:00:00
2021-01-02 23:00:00,38501.71972318,2021-01-02 23:00:00
2021-01-03 00:00:00,39975.52868852,2021-01-03 00:00:00
2021-01-03 01:00:00,41157.16858238,2021-01-03 01:00:00
2021-01-03 02:00:00,39588.01071429,2021-01-03 02:00:00
2021-01-03 03:00:00,39281.59782609,2021-01-03 03:00:00
2021-01-03 04:00:00,40607.84388186,2021-01-03 04:00:00
2021-01-03 05:00:00,44584.359375,2021-01-03 05:00:00
2021-01-03 06:00:00,43129.7896679,2021-01-03 06:00:00
2021-01-03 07:00:00,44688.24427481,2021-01-03 07:00:00
2021-01-03 08:00:00,45113.63066202,2021-01-03 08:00:00
2021-01-03 09:00:00,43751.16027875,2021-01-03 09:00:00
2021-01-03 10:00:00,44225.52727273,2021-01-03 10:00:00
2021-01-03 11:00:00,43260.94755245,2021-01-03 11:00:00
2021-01-03 12:00:00,43574.68363636,2021-01-03 12:00:00
2021-01-03 13:00:00,45318.63117871,2021-01-03 13:00:00
2021-01-03 14:00:00,47427.16906475,2021-01-03 14:00:00
2021-01-03 15:00:00,47959.49824561,2021-01-03 15:00:00
2021-01-03 16:00:00,48359.72047244,2021-01-03 16:00:00
2021-01-03 17:00:00,44841.03623188,2021-01-03 17:00:00
2021-01-03 18:00:00,43837.29787234,2021-01-03 18:00:00
2021-01-03 19:00:00,40466.71317829,2021-01-03 19:00:00
2021-01-03 20:00:00,41104.76490066,2021-01-03 20:00:00
2021-01-03 21:00:00,39396.68650794,2021-01-03 21:00:00
2021-01-03 22:00:00,41908.89655172,2021-01-03 22:00:00
2021-01-03 23:00:00,42339.4738806,2021-01-03 23:00:00
2021-01-04 00:00:00,39987.72868217,2021-01-04 00:00:00
2021-01-04 01:00:00,41629.73308271,2021-01-04 01:00:00
2021-01-04 02:00:00,41327.34074074,2021-01-04 02:00:00
2021-01-04 03:00:00,42003.79124579,2021-01-04 03:00:00
2021-01-04 04:00:00,44805.59541985,2021-01-04 04:00:00
2021-01-04 05:00:00,45961.51145038,2021-01-04 05:00:00
2021-01-04 06:00:00,46052.04705882,2021-01-04 06:00:00
2021-01-04 07:00:00,47410.68070175,2021-01-04 07:00:00
2021-01-04 08:00:00,47543.9233871,2021-01-04 08:00:00
2021-01-04 09:00:00,47712.99264706,2021-01-04 09:00:00
2021-01-04 10:00:00,48703.7063197,2021-01-04 10:00:00
2021-01-04 11:00:00,45141.37037037,2021-01-04 11:00:00
2021-01-04 12:00:00,44317.61389961,2021-01-04 12:00:00
2021-01-04 13:00:00,44131.17100372,2021-01-04 13:00:00
2021-01-04 14:00:00,43875.1884058,2021-01-04 14:00:00
